Burnley, 0-2, Tottenham Hotspur, 2017, 4, http://www.bbc.com/sport/football/39390125
Chelsea, 1-2, Crystal Palace, 2017, 4, http://www.bbc.com/sport/football/39390083
Hull City, 2-1, West Ham United, 2017, 4, http://www.bbc.com/sport/football/39390080
Leicester City, 2-0, Stoke City, 2017, 4, http://www.bbc.com/sport/football/39390081
Manchester United, 0-0, West Bromwich Albion, 2017, 4, http://www.bbc.com/sport/football/39390123
Watford, 1-0, Sunderland, 2017, 4, http://www.bbc.com/sport/football/39390277
Southampton, 0-0, AFC Bournemouth, 2017, 4, http://www.bbc.com/sport/football/39390082
Swansea City, 0-0, Middlesbrough, 2017, 4, http://www.bbc.com/sport/football/39396461
Arsenal, 2-2, Manchester City, 2017, 4, http://www.bbc.com/sport/football/39396482
Burnley, 1-0, Stoke City, 2017, 4, http://www.bbc.com/sport/football/39414145
Leicester City, 2-0, Sunderland, 2017, 4, http://www.bbc.com/sport/football/39414201
Watford, 2-0, West Bromwich Albion, 2017, 4, http://www.bbc.com/sport/football/39414150
Manchester United, 1-1, Everton, 2017, 4, http://www.bbc.com/sport/football/39414200
Arsenal, 3-0, West Ham United, 2017, 4, http://www.bbc.com/sport/football/39426761
Hull City, 4-2, Middlesbrough, 2017, 4, http://www.bbc.com/sport/football/39426885
Southampton, 3-1, Crystal Palace, 2017, 4, http://www.bbc.com/sport/football/39426765
Swansea City, 1-3, Tottenham Hotspur, 2017, 4, http://www.bbc.com/sport/football/39426837
Chelsea, 2-1, Manchester City, 2017, 4, http://www.bbc.com/sport/football/39426884
Liverpool, 2-2, AFC Bournemouth, 2017, 4, http://www.bbc.com/sport/football/39426760
Tottenham Hotspur, 4-0, Watford, 2017, 4, http://www.bbc.com/sport/football/39463992
Manchester City, 3-1, Hull City, 2017, 4, http://www.bbc.com/sport/football/39463997
Middlesbrough, 0-0, Burnley, 2017, 4, http://www.bbc.com/sport/football/39463994
Stoke City, 1-2, Liverpool, 2017, 4, http://www.bbc.com/sport/football/39463995
West Bromwich Albion, 0-1, Southampton, 2017, 4, http://www.bbc.com/sport/football/39464041
West Ham United, 1-0, Swansea City, 2017, 4, http://www.bbc.com/sport/football/39463996
AFC Bournemouth, 1-3, Chelsea, 2017, 4, http://www.bbc.com/sport/football/39464042
Sunderland, 0-3, Manchester United, 2017, 4, http://www.bbc.com/sport/football/39470442
Everton, 4-2, Leicester City, 2017, 4, http://www.bbc.com/sport/football/39470449
Crystal Palace, 3-0, Arsenal, 2017, 4, http://www.bbc.com/sport/football/39475561
Tottenham Hotspur, 4-0, AFC Bournemouth, 2017, 4, http://www.bbc.com/sport/football/39536679
Crystal Palace, 2-2, Leicester City, 2017, 4, http://www.bbc.com/sport/football/39536731
Everton, 3-1, Burnley, 2017, 4, http://www.bbc.com/sport/football/39536681
Stoke City, 3-1, Hull City, 2017, 4, http://www.bbc.com/sport/football/39536677
Sunderland, 2-2, West Ham United, 2017, 4, http://www.bbc.com/sport/football/39536676
Watford, 1-0, Swansea City, 2017, 4, http://www.bbc.com/sport/football/39536678
Southampton, 0-3, Manchester City, 2017, 4, http://www.bbc.com/sport/football/39536675
West Bromwich Albion, 0-1, Liverpool, 2017, 4, http://www.bbc.com/sport/football/39543147
Manchester United, 2-0, Chelsea, 2017, 4, http://www.bbc.com/sport/football/39543146
Middlesbrough, 1-2, Arsenal, 2017, 4, http://www.bbc.com/sport/football/39550227
AFC Bournemouth, 4-0, Middlesbrough, 2017, 4, http://www.bbc.com/sport/football/39605150
Hull City, 2-0, Watford, 2017, 4, http://www.bbc.com/sport/football/39605119
Swansea City, 2-0, Stoke City, 2017, 4, http://www.bbc.com/sport/football/39605115
West Ham United, 0-0, Everton, 2017, 4, http://www.bbc.com/sport/football/39605118
Burnley, 0-2, Manchester United, 2017, 4, http://www.bbc.com/sport/football/39612236
Liverpool, 1-2, Crystal Palace, 2017, 4, http://www.bbc.com/sport/football/39612237
Chelsea, 4-2, Southampton, 2017, 4, http://www.bbc.com/sport/football/39625846
Arsenal, 1-0, Leicester City, 2017, 4, http://www.bbc.com/sport/football/39164091
Middlesbrough, 1-0, Sunderland, 2017, 4, http://www.bbc.com/sport/football/39163993
Crystal Palace, 0-1, Tottenham Hotspur, 2017, 4, http://www.bbc.com/sport/football/39164098
Manchester City, 0-0, Manchester United, 2017, 4, http://www.bbc.com/sport/football/39018821
Southampton, 0-0, Hull City, 2017, 4, http://www.bbc.com/sport/football/39676469
Stoke City, 0-0, West Ham United, 2017, 4, http://www.bbc.com/sport/football/39676419
Sunderland, 0-1, AFC Bournemouth, 2017, 4, http://www.bbc.com/sport/football/39676422
West Bromwich Albion, 0-1, Leicester City, 2017, 4, http://www.bbc.com/sport/football/39676468
Crystal Palace, 0-2, Burnley, 2017, 4, http://www.bbc.com/sport/football/39676420
Manchester United, 1-1, Swansea City, 2017, 4, http://www.bbc.com/sport/football/39682899
Everton, 0-3, Chelsea, 2017, 4, http://www.bbc.com/sport/football/39682871
Middlesbrough, 2-2, Manchester City, 2017, 4, http://www.bbc.com/sport/football/39682898
Tottenham Hotspur, 2-0, Arsenal, 2017, 4, http://www.bbc.com/sport/football/39682885
Watford, 0-1, Liverpool, 2017, 5, http://www.bbc.com/sport/football/39689205
West Ham United, 1-0, Tottenham Hotspur, 2017, 5, http://www.bbc.com/sport/football/39741514
Manchester City, 5-0, Crystal Palace, 2017, 5, http://www.bbc.com/sport/football/39754032
AFC Bournemouth, 2-2, Stoke City, 2017, 5, http://www.bbc.com/sport/football/39754031
Burnley, 2-2, West Bromwich Albion, 2017, 5, http://www.bbc.com/sport/football/39754028
Hull City, 0-2, Sunderland, 2017, 5, http://www.bbc.com/sport/football/39754030
Leicester City, 3-0, Watford, 2017, 5, http://www.bbc.com/sport/football/39754029
Swansea City, 1-0, Everton, 2017, 5, http://www.bbc.com/sport/football/39754033
Liverpool, 0-0, Southampton, 2017, 5, http://www.bbc.com/sport/football/39760509
Arsenal, 2-0, Manchester United, 2017, 5, http://www.bbc.com/sport/football/39760508
Chelsea, 3-0, Middlesbrough, 2017, 5, http://www.bbc.com/sport/football/39767793
Southampton, 0-2, Arsenal, 2017, 5, http://www.bbc.com/sport/football/39012178
Everton, 1-0, Watford, 2017, 5, http://www.bbc.com/sport/football/39813797
West Bromwich Albion, 0-1, Chelsea, 2017, 5, http://www.bbc.com/sport/football/39813798
Manchester City, 2-1, Leicester City, 2017, 5, http://www.bbc.com/sport/football/39827546
AFC Bournemouth, 2-1, Burnley, 2017, 5, http://www.bbc.com/sport/football/39827550
Middlesbrough, 1-2, Southampton, 2017, 5, http://www.bbc.com/sport/football/39827552
Sunderland, 0-2, Swansea City, 2017, 5, http://www.bbc.com/sport/football/39827548
Stoke City, 1-4, Arsenal, 2017, 5, http://www.bbc.com/sport/football/39827551
Crystal Palace, 4-0, Hull City, 2017, 5, http://www.bbc.com/sport/football/39833968
West Ham United, 0-4, Liverpool, 2017, 5, http://www.bbc.com/sport/football/39833967
Tottenham Hotspur, 2-1, Manchester United, 2017, 5, http://www.bbc.com/sport/football/39833969
Chelsea, 4-3, Watford, 2017, 5, http://www.bbc.com/sport/football/39176057
Arsenal, 2-0, Sunderland, 2017, 5, http://www.bbc.com/sport/football/39853089
Manchester City, 3-1, West Bromwich Albion, 2017, 5, http://www.bbc.com/sport/football/39853090
Southampton, 0-0, Manchester United, 2017, 5, http://www.bbc.com/sport/football/39170670
Leicester City, 1-6, Tottenham Hotspur, 2017, 5, http://www.bbc.com/sport/football/39879805
Arsenal, 3-1, Everton, 2017, 5, http://www.bbc.com/sport/football/39912025
Burnley, 1-2, West Ham United, 2017, 5, http://www.bbc.com/sport/football/39912028
Chelsea, 5-1, Sunderland, 2017, 5, http://www.bbc.com/sport/football/39912027
Hull City, 1-7, Tottenham Hotspur, 2017, 5, http://www.bbc.com/sport/football/39912022
Leicester City, 1-1, AFC Bournemouth, 2017, 5, http://www.bbc.com/sport/football/39912024
Liverpool, 3-0, Middlesbrough, 2017, 5, http://www.bbc.com/sport/football/39912029
Manchester United, 2-0, Crystal Palace, 2017, 5, http://www.bbc.com/sport/football/39912026
Southampton, 0-1, Stoke City, 2017, 5, http://www.bbc.com/sport/football/39912023
Swansea City, 2-1, West Bromwich Albion, 2017, 5, http://www.bbc.com/sport/football/39912021
